id,authors,title,average_rating
8581,"Jann S. Wenner, Corey Seymour",Gonzo: The Life of Hunter S. Thompson,4.07
8582,Dominic Smith,The Last Painting of Sara de Vos,3.83
8583,Louise Jensen,The Sister,3.77
8584,Jennifer Estep,"Kiss of Frost (Mythos Academy, #2)",4.05
8585,David Shannon,Duck On A Bike,4.06
8586,Margaret Leroy,The Soldier's Wife,3.88
8587,Jennifer A. Nielsen,"The Shadow Throne (The Ascendance Trilogy, #3)",4.23
8588,Paul Auster,"City of Glass (The New York Trilogy, #1)",3.81
8589,Machado de Assis,Memórias Póstumas de Brás Cubas,4.23
8590,Elizabeth  George,"This Body of Death (Inspector Lynley, #16)",4.01
8591,L.M. Montgomery,"Emily Climbs (Emily, #2)",4.14
8592,Jacqueline Carey,"Kushiel's Mercy (Imriel's Trilogy, #3)",4.3
8593,Thomas C. Foster,How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines,3.63
8594,Orson Scott Card,"Shadows in Flight (Ender's Shadow, #5)",3.76
8595,Ilona Andrews,"Burn for Me (Hidden Legacy, #1)",4.34
8596,Robert Crais,"Chasing Darkness (Elvis Cole, #12)",4.18
8597,Lauren Myracle,"ttyl (Internet Girls, #1)",3.46
8598,Bruce Campbell,If Chins Could Kill: Confessions of a B-Movie Actor,3.99
8599,"Matsuri Hino, Tomo Kimura","Vampire Knight, Vol. 4 (Vampire Knight, #4)",4.31
8600,"Denis Johnson, Bettina Abarbanell",Train Dreams,3.89
8601,Rolf Dobelli,The Art of Thinking Clearly,3.79
8602,Ellen Stoll Walsh,Mouse Paint,4.15
8603,L.D. Davis,"Accidentally on Purpose (Accidentally on Purpose, #1)",3.94
8604,Ulrich Bischoff,Edvard Munch: 1863-1944 (Basic Art),4.07
8605,"Charles Harrison, Paul Wood",Art in Theory 1900 - 2000: An Anthology of Changing Ideas,3.94
8606,"Hervé Tullet, Christopher Franceschelli",Press Here,4.44
8607,Robert Muchamore,"The Killing (Cherub, #4)",4.12
8608,Harlan Coben,Darkest Fear (Myron Bolitar #7),4.03
8609,"Alfred Tennyson, Charles Keeping",The Lady of Shalott,4.17
8610,Lisi Harrison,"Revenge of the Wannabes (The Clique, #3)",3.76
8611,"Friedrich Nietzsche, Douglas Smith",On the Genealogy of Morals,4.1
8612,"Jamie Delano, John Ridgway, Alfredo Alcalá",Hellblazer: Original Sins,4.1
8613,"Jane Lynch, Lisa Dickey",Happy Accidents: A Memoir,3.69
8614,Jonathan Renshaw,"Dawn of Wonder (The Wakening, #1)",4.36
8615,J.D. Robb,"Celebrity in Death (In Death, #34)",4.28
8616,سلطان موسى الموسى,أقوم قيلا,3.99
8617,"Walter Moers, John Brownjohn","The 13½ Lives of Captain Bluebear (Zamonia, #1)",4.2
8618,Antonia Fraser,The Wives of Henry VIII,4.15
8619,Shel Silverstein,Every Thing on It,4.39
8620,Raymond Briggs,The Snowman,4.28
8621,Jay Crownover,"Nash (Marked Men, #4)",4.21
8622,Quinn Loftis,"Just One Drop (The Grey Wolves, #3)",4.48
8623,"Carl Sagan, Ann Druyan",Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,4.26
8624,John Sandford,"Rough Country (Virgil Flowers, #3)",4.15
8625,John Updike,Rabbit Redux (Rabbit Angstrom #2),3.79
8626,Lemony Snicket,Lemony Snicket: The Unauthorized Autobiography (A Series of Unfortunate Events companion),3.72
8627,Winston Graham,"Ross Poldark (Poldark, #1)",4.11
8628,Gregg Hurwitz,"Orphan X (Orphan X, #1)",4.08
8629,Bella Andre,"The Look of Love (San Francisco Sullivans, #1; The Sullivans, #1)",3.87
8630,Stephen King,Blockade Billy,3.4
8631,Robert Ludlum,The Matlock Paper,3.86
8632,Roland Merullo,Breakfast with Buddha,3.82
8633,"Suetonius, Michael Grant, Robert Graves",The Twelve Caesars,4.05
8634,"Ibraheem Abbas, إبراهيم عباس, Yasser Bahjatt",حوجن [Ḥawjan],3.75
8635,Bernard Cornwell,"Sharpe's Rifles (Sharpe, #6)",4.21
8636,R.A. Salvatore,"Vector Prime (Star Wars: The New Jedi Order, #1)",3.79
8637,Scott Westerfeld,"Touching Darkness (Midnighters, #2)",3.89
8638,Lisa Lutz,"Revenge of the Spellmans (The Spellmans, #3)",4.14
8639,Charlie LeDuff,Detroit: An American Autopsy,3.95
8640,Dorothy L. Sayers,"Gaudy Night (Lord Peter Wimsey, #12)",4.26
8641,C.S. Pacat,"Kings Rising (Captive Prince, #3)",4.5
8642,"Penelope Douglas, Abby Craden, Nelson Hobbs","Rival (Fall Away, #2)",4.16
8643,Philip Reeve,"Mortal Engines (The Hungry City Chronicles, #1)",3.98
8644,"James Patterson, Mark Pearson",Private London (Private #4),3.75
8645,Faith Hunter,"Blood Cross (Jane Yellowrock, #2)",4.13
8646,Gemma Halliday,"Spying in High Heels (High Heels, #1)",3.67
8647,Raymond Chandler,"The Lady in the Lake (Philip Marlowe, #4)",4.07
8648,"Bernadette Rossetti-Shustak, Caroline Jayne Church",I Love You Through and Through,4.39
8649,Lisa Gardner,"Crash & Burn (Tessa Leoni, #3)",4
8650,"Jim Krueger, Alex Ross, Doug Braithwaite","Justice, Volume 1",4.14
8651,Tad Williams,"River of Blue Fire (Otherland, #2)",4
8652,"William Nicholson, Peter Sís","The Wind Singer (Wind on Fire, #1)",3.84
8653,Scarlett Thomas,The End of Mr. Y,3.79
8654,"Michael Chabon, Gary Gianni",Gentlemen of the Road,3.42
8655,"James Andrew Miller, Tom Shales",Those Guys Have All the Fun: Inside the World of ESPN,3.69
8656,Daniel Wallace,Big Fish,3.64
8657,Tammara Webber,"Breakable (Contours of the Heart, #2)",4.06
8658,Lisa O'Donnell,The Death of Bees,3.81
8659,Frances Mayes,Bella Tuscany,3.74
8660,Rachel Caine,"Black Dawn (The Morganville Vampires, #12)",4.26
8661,"Tim Tebow, Nathan Whitaker",Through My Eyes,3.92
8662,Octavia E. Butler,"Parable of the Talents (Earthseed, #2)",4.21
8663,"Joe Hill, Gabriel Rodríguez","Locke & Key, Vol. 6: Alpha & Omega",4.5
8664,J.G. Ballard,"Empire of the Sun (Empire of the Sun, #1)",3.98
8665,"Patricia M. Scarry, Richard Scarry",The Country Mouse and the City Mouse; The Fox and the Crow; The Dog and His Bone,4.28
8666,Paul Theroux,Dark Star Safari: Overland from Cairo to Cape Town,3.96
8667,Anne McCaffrey,"Crystal Singer (Crystal Singer, #1)",4.07
8668,Sarah J. Maas,"The Assassin and the Underworld (Throne of Glass, #0.4)",4.37
8669,"Laura Joffe Numeroff, Felicia Bond",If You Give a Cat a Cupcake,4.2
8670,James Luceno,Darth Plagueis,4.07
8671,"Anderson Cooper, Gloria Vanderbilt","The Rainbow Comes and Goes: A Mother and Son On Life, Love, and Loss",3.79
8672,Ben H. Winters,Underground Airlines,3.88
8673,Ann Cleeves,"Raven Black (Shetland Island, #1)",3.85
8674,Sherrilyn Kenyon,"Infamous (Chronicles of Nick, #3)",4.36
8675,"Sarah L. Delany, A. Elizabeth Delany, Amy Hill Hearth",Having Our Say: The Delany Sisters' First 100 Years,4.14
8676,Richard Price,Lush Life,3.69
8677,Peter Hedges,What's Eating Gilbert Grape,4.1
8678,Gail Carriger,"Curtsies & Conspiracies (Finishing School, #2)",4.11
8679,Annie Barrows,The Truth According to Us,3.75
8680,"Karen Kingsbury, Gary Smalley","Reunion (Redemption, #5)",4.49
8681,Armistead Maupin,"More Tales of the City (Tales of the City, #2)",4.18
8682,"Émile Zola, Robin Buss",Thérèse Raquin,3.71
8683,Chris Bohjalian,The Night Strangers,3.16
8684,J.S. Scott,"The Billionaire's Obsession ~ Simon (The Billionaire's Obsession, #1)",4
8685,Sarah Pinborough,Behind Her Eyes,3.77
8686,"Robert W. Chambers, E.F. Bleiler",The King in Yellow and Other Horror Stories,3.57
8687,Patrick O'Brian,H.M.S. Surprise,4.42
8688,"Ayn Rand, Nathaniel Branden",The Virtue of Selfishness: A New Concept of Egoism,3.47
8689,Debbie Macomber,"Twenty Wishes (Blossom Street, #5)",4.16
8690,Joseph Boyden,Through Black Spruce,4.11
8691,Susan  Wilson,One Good Dog,4.07
8692,Jeanette Winterson,Sexing the Cherry,3.83
8693,Randy Susan Meyers,The Murderer's Daughters,3.68
8694,J.D. Robb,"Strangers in Death (In Death, #26)",4.29
8695,Victoria Schwab,"The Archived (The Archived, #1)",4.02
8696,David Mamet,Glengarry Glen Ross,3.95
8697,Umberto Eco,The Island of the Day Before,3.43
8698,Ruth Wariner,The Sound of Gravel,4.15
8699,Beatrix Potter,The Complete Adventures of Peter Rabbit,4.46
8700,Charles M. Schulz,A Charlie Brown Christmas,4.48
8701,Frank Miller,"Sin City: Una Dura Despedida, #1 de 3",4.21
8702,Nalini Singh,"Hostage to Pleasure (Psy-Changeling, #5)",4.22
8703,Adrian Nicole LeBlanc,"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",4.23
8704,"Leo Tolstoy, Louise Maude, Aylmer Maude",Resurrection,4.1
8705,Larry Correia,"Hard Magic (Grimnoir Chronicles, #1)",4.13
8706,John Sandford,"Storm Prey (Lucas Davenport, #20)",4.15
8707,Lee Strobel,The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God,4.1
8708,Benedict Jacka,"Fated (Alex Verus, #1)",3.89
8709,Maggie O'Farrell,Instructions for a Heatwave,3.62
8710,Jonathan Kellerman,"Victims (Alex Delaware, #27)",3.94
8711,"Janet Evanovich, Lee Goldberg","The Job (Fox and O'Hare, #3)",3.95
8712,Jeff Kinney,"Old School (Diary of a Wimpy Kid, #10)",4.28
8713,Victoria Helen Stone,"Evelyn, After",3.64
8714,Sharon G. Flake,The Skin I'm In,4.13
8715,James Rollins,The Eye of God (Sigma Force #9),4.11
8716,Kazuo Ishiguro,An Artist of the Floating World,3.72
8717,"Pascal Mercier, Barbara Harshav",Night Train to Lisbon,3.7
8718,Tessa Dare,"Romancing the Duke (Castles Ever After, #1)",3.91
8719,Martha Grimes,"The Man With a Load of Mischief (Richard Jury, #1)",4.01
8720,Jessica Sorensen,"The Underworld (Fallen Star, #2)",4.12
8721,David McCullough,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",4.19
8722,Louise Erdrich,LaRose,3.86
8723,Lucie Whitehouse,Before We Met,3.43
8724,"The Waiter, Steve Dublanica",Waiter Rant: Thanks for the Tip-Confessions of a Cynical Waiter,3.49
8725,Kevin Hearne,"Two Ravens and One Crow (The Iron Druid Chronicles, #4.5)",4.2
8726,Robert Louis Stevenson,The Black Arrow,3.81
8727,"Tom Clancy, Grant Blackwood","Dead or Alive (Jack Ryan Universe, #13)",3.79
8728,V.C. Andrews,"Fallen Hearts (Casteel, #3)",3.89
8729,Melanie Rawn,"Dragon Prince (Dragon Prince, #1)",3.94
8730,Jeffery Deaver,"The Burning Wire (Lincoln Rhyme, #9)",4.04
8731,Breena Clarke,"River, Cross My Heart",3.47
8732,"Nancy Leigh DeMoss, Elisabeth Elliot",Lies Women Believe: And the Truth that Sets Them Free,4.1
8733,Jack London,To Build a Fire,3.92
8734,Lisi Harrison,"Invasion of the Boy Snatchers (The Clique, #4)",3.79
8735,John Irving,The 158-Pound Marriage,3.22
8736,Chris Anderson,Free: The Future of a Radical Price,3.83
8737,"Joe Sacco, Edward Said",Palestine,4.2
8738,"Vincent van Gogh, Irving Stone, Jean   Stone",Dear Theo,4.09
8739,Cecelia Ahern,One Hundred Names,3.75
8740,Louisa May Alcott,"Good Wives (Little Women, #1.5)",3.92
8741,Yangsze Choo,The Ghost Bride,3.74
8742,"Terry Brooks, George Lucas",Star Wars - Episode I: The Phantom Menace,3.55
8743,"Gene Luen Yang, Michael Dante DiMartino, Gurihiru, Bryan Konietzko","Avatar: The Last Airbender (The Promise, #2)",4.43
8744,Karina Halle,The Pact,3.91
8745,Jacqueline Wilson,"Girls in Love (Girls, #1)",3.53
8746,"Else Holmelund Minarik, Maurice Sendak",Little Bear's Friend,4.3
8747,Twyla Tharp,The Creative Habit: Learn It and Use It for Life,4
8748,"Mourid Barghouti, مريد البرغوثي",رأيت رام الله,4.15
8749,Jocelyn Davies,"A Beautiful Dark (A Beautiful Dark, #1)",3.9
8750,"Marion Zimmer Bradley, Diana L. Paxson","Lady of Avalon (Avalon, #3)",3.88
8751,"Tom Clancy, Mark Greaney","Threat Vector (Jack Ryan Universe, #15)",4.1
8752,"Miles Davis, Quincy Troupe",Miles: The Autobiography,4.18
8753,Elizabeth Winthrop,"The Castle in the Attic (The Castle in the Attic, #1)",3.96
8754,Steven Tyler,Does the Noise in My Head Bother You?,3.47
8755,George R.R. Martin,"The Sworn Sword (The Tales of Dunk and Egg, #2)",4.07
8756,Jeffery Deaver,"The Broken Window (Lincoln Rhyme, #8)",4.07
8757,H.P. Lovecraft,The Complete Works of H.P. Lovecraft,4.34
8758,Christina Lauren,"Beautiful Secret (Beautiful Bastard, #4)",4.13
8759,Patricia Cornwell,"Dust (Kay Scarpetta, #21)",3.53
8760,Anton Chekhov,The Three Sisters,3.76
8761,Anthony Horowitz,"Evil Star (The Gatekeepers, #2)",3.98
8762,Abbi Glines,"You Were Mine (Rosemary Beach, #9)",4.26
8763,"Janet Evanovich, Charlotte Hughes",Full Tilt (Full #2),3.7
8764,Josh Bazell,Beat the Reaper (Peter Brown #1),3.79
8765,Elin Hilderbrand,Nantucket Nights,3.64
8766,"Brian Herbert, Kevin J. Anderson","The Machine Crusade (Legends of Dune, #2)",3.73
8767,Piers Anthony,"Ogre, Ogre (Xanth #5)",3.73
8768,"Arthur Conan Doyle, William S. Baring-Gould",The Annotated Sherlock Holmes: The Four Novels and the Fifty-Six Short Stories Complete (2 Volume Set),4.58
8769,Joanna Wylde,"Devil's Game (Reapers MC, #3)",4.3
8770,Nicky Charles,"The Keeping (Law of the Lycans, #3)",4.18
8771,Mercer Mayer,There's a Nightmare in My Closet,4.22
8772,Patricia Cornwell,"Flesh and Blood (Kay Scarpetta, #22)",3.67
8773,Beth Moore,Breaking Free: Discover the Victory of Total Surrender,4.43
8774,Eric Hill,Where's Spot?,4.05
8775,"Penelope Ward, Vi Keeland",Cocky Bastard,4.18
8776,Jan Karon,"Out to Canaan (Mitford Years, #4)",4.28
8777,"James Patterson, Michael Ledwidge","The Dangerous Days of Daniel X (Daniel X, #1)",3.57
8778,"Camilla Läckberg, Tiina Nunnally","The Hidden Child (Patrik Hedström, #5)",3.94
8779,Terry McMillan,Waiting to Exhale (Waiting To Exhale #1),3.94
8780,Elizabeth Eulberg,Prom and Prejudice,3.82
8781,Carl Hiaasen,Strip Tease,3.82
8782,Gabriel García Márquez,Strange Pilgrims,4.02
8783,Kevin J. Anderson,"Jedi Search (Star Wars: The Jedi Academy Trilogy, #1)",3.64
8784,Ted Dekker,"Showdown (Paradise, #1)",3.93
8785,J.D. Robb,"Thankless in Death (In Death, #37)",4.28
8786,John le Carré,Call for the Dead,3.77
8787,Brian Jacques,"Marlfox (Redwall, #11)",3.99
8788,"Yasunari Kawabata, Edward G. Seidensticker",Snow Country,3.7
8789,J. Maarten Troost,Getting Stoned with Savages: A Trip Through the Islands of Fiji and Vanuatu,3.86
8790,Robin Cook,"Chromosome 6 (Jack Stapleton & Laurie Montgomery, #3)",3.89
8791,Dave Barry,Big Trouble,3.81
8792,"Fyodor Dostoyevsky, Ergin Altay",The House of the Dead,4.03
8793,Kim Gruenenfelder,"A Total Waste of Makeup (Charlize Edwards, #1)",3.69
8794,Morris Gleitzman,"Once (Once, #1)",4.2
8795,Cecily von Ziegesar,"Because I'm Worth It (Gossip Girl, #4)",3.57
8796,John Sandford,"Deadline (Virgil Flowers, #8)",4.19
8797,Sara Shepard,"Stunning (Pretty Little Liars, #11)",3.95
8798,Gary Brandner,The Howling,3.92
8799,Roger Zelazny,Sign of the Unicorn (The Chronicles of Amber #3),4.14
8800,Carl Hiaasen,Scat,3.94
8801,Douglas Coupland,Life After God,3.82
8802,John Berendt,The City of Falling Angels,3.52
8803,Rosamund Lupton,Afterwards,3.79
8804,Ilana Tan,Autumn in Paris,4.07
8805,Charles Bukowski,Hot Water Music,3.93
8806,Wilbur Smith,"Warlock (Ancient Egypt, #3)",4.02
8807,Oprah Winfrey,What I Know for Sure,4.12
8808,Amanda Hocking,"Wisdom (My Blood Approves, #4)",4.04
8809,Colm Tóibín,The Testament of Mary,3.61
8810,Sara B. Larson,"Defy (Defy, #1)",3.74
8811,Fannie Flagg,"Standing in the Rainbow (Elmwood Springs, #2)",4.02
8812,Mircea Eliade,Maitreyi,3.92
8813,Christina McKenna,The Misremembered Man (Tailorstown #1),3.72
8814,Glen David Gold,Carter Beats the Devil,4.09
8815,"Georges Bataille, Joachim Neugroschel, Dovid Bergelson",Story of the Eye,3.71
8816,Kate Jacobs,"Knit Two (Friday Night Knitting Club, #2)",3.47
8817,Maurice Sendak,In the Night Kitchen,4.06
8818,Raymond Carver,"Will You Please Be Quiet, Please?",4.29
8819,"Rainer Maria Rilke, Stephen Mitchell, Robert Hass",The Selected Poetry of Rainer Maria Rilke,4.4
8820,Larissa Ione,"Eternal Rider (Lords of Deliverance, #1, Demonica, #6)",4.21
8821,"Gabriel García Márquez, Randolph Hogan",The Story of a Shipwrecked Sailor,3.73
8822,J.D. Robb,"Concealed in Death (In Death, #38)",4.25
8823,Christiane Northrup,"Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",4.32
8824,John Sandford,"Mind Prey (Lucas Davenport, #7)",4.19
8825,Lindsay Ashford,The Color of Secrets,3.85
8826,"Warren Ellis, John Cassaday","Planetary, Volume 1: All Over the World and Other Stories",4.21
8827,Danielle L. Jensen,"Stolen Songbird (The Malediction Trilogy, #1)",3.97
8828,Andy Cohen,Most Talkative: Stories from the Front Lines of Pop Culture,3.79
8829,Stephen King,"The Green Mile, Part 2: The Mouse on the Mile",4.47
8830,Mary Higgins Clark,A Cry In The Night,3.84
8831,"Assata Shakur, Angela Y. Davis, Lennox S. Hinds",Assata: An Autobiography,4.48
8832,Clive Barker,"Days of Magic, Nights of War (Abarat, #2)",4.2
8833,"Paul Galdone, Peter Christen Asbjørnsen",The Three Billy Goats Gruff,4.14
8834,Willow Aster,True Love Story,4.08
8835,"Corina Bomann, Alison Layland",The Moonlit Garden,3.74
8836,Edward M. Kennedy,True Compass: A Memoir,3.99
8837,Ian Fleming,"Diamonds Are Forever (James Bond, #4)",3.59
8838,James Hilton,Lost Horizon,3.9
8839,Caroline Kepnes,"Hidden Bodies (You, #2)",3.87
8840,"Nella Larsen, Ntozake Shange, Thadious M. Davis",Passing,3.8
8841,"Neil Gaiman, Michael Reaves","InterWorld (InterWorld, #1)",3.51
8842,David Levithan,The Realm of Possibility,3.94
8843,Harry Bernstein,The Invisible Wall: A Love Story That Broke Barriers,4.07
8844,Brenna Yovanoff,The Replacement,3.56
8845,"George Carlin, Tony Hendra",Last Words,4.04
8846,James Gleick,"The Information: A History, a Theory, a Flood",3.98
8847,Homer Hickam,Rocket Boys (Coalwood #1),4.18
8848,Danielle Steel,Kaleidoscope,3.88
8849,John le Carré,A Perfect Spy,3.99
8850,Raymond Chandler,"The High Window (Philip Marlowe, #3)",4.08
8851,Laurell K. Hamilton,"Affliction (Anita Blake, Vampire Hunter #22)",4.01
8852,Kristen Ashley,"Wildest Dreams (Fantasyland, #1)",4.19
8853,John Sandford,"Sudden Prey (Lucas Davenport, #8)",4.15
8854,Francine Rivers,Mark of the Lion Trilogy,4.76
8855,Richard Branson,"Screw It, Let's Do It: Lessons In Life",3.93
8856,"Betty MacDonald, Alexandra Boiger","Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle, #2)",4.17
8857,"Roald Dahl, Quentin Blake",Revolting Rhymes,4.13
8858,Val McDermid,"The Mermaids Singing (Tony Hill & Carol Jordan, #1)",3.98
8859,C.S. Lewis,The Weight of Glory,4.41
8860,Nora Roberts,Sanctuary,3.87
8861,Robert Crais,"Sunset Express (Elvis Cole, #6)",4.17
8862,J.R. Ward,"The Bourbon Kings (The Bourbon Kings, #1)",3.87
8863,Alistair MacLean,The Guns of Navarone,4.12
8864,Ian Fleming,"On Her Majesty's Secret Service (James Bond, #11)",3.94
8865,Robin Norwood,Women Who Love Too Much: When You Keep Wishing and Hoping He'll Change,3.98
8866,Perry Moore,Hero,3.88
8867,Alex Kotlowitz,There are No Children Here: The Story of Two Boys Growing Up in the Other America,4.25
8868,Agatha Christie,"At Bertram's Hotel (Miss Marple, #11)",3.7
8869,Kiera Cass,"Happily Ever After (The Selection, #0.4, 0.5, 2.5, 2.6)",4.22
8870,"John D. Fitzgerald, Mercer Mayer",The Great Brain (Great Brain #1),4.16
8871,Chris d'Lacey,"The Fire Eternal (The Last Dragon Chronicles, #4)",3.99
8872,Julie Garwood,"Mercy (Buchanan-Renard, #2)",4.11
8873,Roddy Doyle,The Commitments,3.95
8874,Chuck Palahniuk,Tell-All,2.84
8875,Sonya Sones,What My Mother Doesn't Know (What My Mother Doesn't Know #1),3.83
8876,Danielle Trussoni,"Angelology (Angelology, #1)",3.41
8877,"Paula H. Deen, John Berendt",The Lady & Sons Savannah Country Cookbook,4
8878,"Gabriel García Márquez, J.S. Bernstein",No One Writes to the Colonel and Other Stories,3.86
8879,Nicholas Pileggi,Wiseguy,4.14
8880,"Warren Ellis, Darick Robertson, Rodney Ramos, Patrick Stewart","Transmetropolitan, Vol. 5: Lonely City (Transmetropolitan, #5)",4.4
8881,Kent Haruf,"Benediction (Plainsong, #3)",3.97
8882,عباس معروفی,سمفونی مردگان,4.08
8883,Linda Howard,After the Night,4.1
8884,Chelsea Cain,"Evil at Heart (Archie Sheridan & Gretchen Lowell, #3)",4.03
8885,Cynthia Swanson,The Bookseller,3.66
8886,"Anatoli Boukreev, G. Weston DeWalt",The Climb: Tragic Ambitions on Everest,3.89
8887,Django Wexler,"The Thousand Names (The Shadow Campaigns, #1)",4.04
8888,Louisa May Alcott,An Old-Fashioned Girl,4.05
8889,Jamie McGuire,"Beautiful Burn (The Maddox Brothers, #4)",4.11
8890,"Natsuki Takaya, Alethea Nibley, Athena Nibley","Fruits Basket, Vol. 2",4.34
8891,Bart D. Ehrman,Misquoting Jesus: The Story Behind Who Changed the Bible and Why,3.91
8892,Mariana Zapata,Wait for It,4.22
8893,Ursula K. Le Guin,"The Other Wind (Earthsea Cycle, #6)",4.06
8894,"Steve Berry, Scott Brick","The Paris Vendetta (Cotton Malone, #5)",3.9
8895,Anthony Horowitz,Moriarty (Sherlock Holmes #2),3.74
8896,"William Shakespeare, Roma Gill, Robert          Jackson",Richard II,3.76
8897,Johanna Lindsey,Prisoner of My Desire,4.06
8898,Greg Iles,Blood Memory,4.09
8899,"George Gordon Byron, Peter J. Manning, Susan J. Wolfson",Selected Poems,4.05
8900,Laura Lippman,After I'm Gone,3.61
8901,Jennifer Worth,Shadows of the Workhouse,4.12
8902,"Anna Gavalda, Alison Anderson",Hunting and Gathering,4.1
8903,"Peter Lynch, John Rothchild",One Up On Wall Street: How To Use What You Already Know To Make Money In The Market,4.12
8904,Iain M. Banks,Against a Dark Background,4.09
8905,Fannie Flagg,I Still Dream About You,3.55
8906,Jonathan Swift,A Modest Proposal and Other Satirical Works,4.04
8907,Alan W. Watts,The Book on the Taboo Against Knowing Who You Are,4.28
8908,"Bertolt Brecht, David Hare",Mother Courage and Her Children,3.66
8909,Jeaniene Frost,"Up from the Grave (Night Huntress, #7)",4.28
8910,Jessica Day George,"Sun and Moon, Ice and Snow",3.97
8911,Brent Weeks,"The Blood Mirror (Lightbringer, #4)",4.29
8912,Nic Pizzolatto,Galveston,3.72
8913,"Mac Barnett, Jon Klassen",Extra Yarn (E. B. White Read-Aloud Award. Picture Books),4.07
8914,Justin Torres,We the Animals,3.61
8915,Daniel C. Dennett,Breaking the Spell: Religion as a Natural Phenomenon,3.89
8916,"Edmund Spenser, Thomas P. Roche, C. Patrick O'Donnell",The Faerie Queene ,3.55
8917,Francine Rivers,"Her Daughter's Dream (Marta's Legacy, #2)",4.34
8918,Kristen Ashley,"Rock Chick Revolution (Rock Chick, #8)",4.46
8919,Alissa Nutting,Tampa,3.34
8920,Arthur Nersesian,The Fuck-Up,3.56
8921,Steve Alten,"Meg (MEG, #1)",3.76
8922,Frank Beddor,"Seeing Redd (The Looking Glass Wars, #2)",3.85
8923,John O'Hara,Appointment in Samarra,3.83
8924,"Janet Ahlberg, Allan Ahlberg",Each Peach Pear Plum,4.24
8925,"Gene Kim, Kevin Behr, George Spafford","The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",4.24
8926,Brandon Stanton,Humans of New York,4.5
8927,"Chris Van Allsburg, Lois Lowry, Kate DiCamillo, M.T. Anderson, Louis Sachar, Stephen King, Tabitha King, Jon Scieszka, Sherman Alexie, Gregory Maguire, Cory Doctorow, Jules Feiffer, Linda Sue Park, Walter Dean Myers, Lemony Snicket",The Chronicles of Harris Burdick: 14 Amazing Authors Tell the Tales,3.91
8928,"Erin Gruwell, Zlata Filipović, The Freedom Writers",The Freedom Writers Diary,4.09
8929,Fareed Zakaria,The Post-American World,3.86
8930,Jon Ronson,Them: Adventures with Extremists,3.94
8931,"Susanna Clarke, Charles Vess",The Ladies of Grace Adieu and Other Stories,3.85
8932,Dinah Bucholz,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),4.1
8933,Bill Browder,"Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice",4.39
8934,David Bach,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,3.9
8935,Cat Patrick,Forgotten,3.79
8936,Jill Leovy,Ghettoside: A True Story of Murder in America,4.12
8937,"Terry Jones, Brian Froud",Lady Cottington's Pressed Fairy Book,3.99
8938,Chevy Stevens,That Night,3.92
8939,Paul Torday,Salmon Fishing in the Yemen,3.51
8940,Alex  Ross,The Rest Is Noise: Listening to the Twentieth Century,4.08
8941,Katie Klein,"Cross My Heart (Cross My Heart, #1)",3.92
8942,Trish Doller,Something like Normal,3.81
8943,Glenn Greenwald,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",4.08
8944,Orson Scott Card,Pastwatch: The Redemption of Christopher Columbus,3.96
8945,Lisa Gardner,"The Next Accident (Quincy & Rainie, #3)",4.16
8946,Hafez,The Divan,4.63
8947,John L. Parker Jr.,Once a Runner,4.05
8948,Ben Hatke,"Zita the Spacegirl (Zita the Spacegirl, #1)",4.04
8949,"Dante Alighieri, Dorothy L. Sayers, Barbara Reynolds","Paradiso (The Divine Comedy, #3)",3.94
8950,William  Boyd,Restless,3.84
8951,Nancy Farmer,"The Ear, the Eye, and the Arm",3.85
8952,"Amy Lichtenhan, A.L. Jackson","Take This Regret (Take This Regret, #1)",4.06
8953,R.L. Stine,"Stay Out of the Basement  (Goosebumps, #2)",3.64
8954,Kathryn Croft,The Girl You Lost,3.89
8955,Belle Aurora,Willing Captive,4.11
8956,R.L. Stine,"One Day at Horrorland (Goosebumps, #16)",3.87
8957,David Lebovitz,The Sweet Life in Paris: Delicious Adventures in the World's Most Glorious - and Perplexing - City,3.85
8958,Julie Kagawa,"Talon (Talon, #1)",3.77
8959,Grace Draven,"Radiance (Wraith Kings, #1)",4.12
8960,Mark Haddon,The Red House,2.93
8961,"Larry Niven, Jerry Pournelle",Footfall,3.89
8962,Heather Brewer,"Twelfth Grade Kills (The Chronicles of Vladimir Tod, #5)",4.36
8963,Alistair MacLean,Ice Station Zebra,3.95
8964,Ronald C. White Jr.,A. Lincoln,4.22
8965,"William Shakespeare, Sylvan Barnet, Alvin Kernan, Russell Fraser",Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth,4.41
8966,Susan Elizabeth Phillips,Ain't She Sweet,4.05
